taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:9316,species:cdnom:9316,genus:Harpalus,family:Carabidae,species,cdnom:9316,Harpalus tardus,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus tardus (Panzer, 1797)",Harpalus tardus
species:cdnom:9419,species:cdnom:9419,genus:Microlestes,family:Carabidae,species,cdnom:9419,Microlestes minutulus,Microlestes,Carabidae,Coleoptera,Insecta,"Microlestes minutulus (Goeze, 1777)",Microlestes minutulus
species:cdnom:8532,species:cdnom:8532,genus:Notiophilus,family:Carabidae,species,cdnom:8532,Notiophilus rufipes,Notiophilus,Carabidae,Coleoptera,Insecta,"Notiophilus rufipes Curtis, 1829",Notiophilus rufipes
genus:Asaphidion,NA,genus:Asaphidion,family:Carabidae,genus,NA,NA,Asaphidion,Carabidae,Coleoptera,Insecta,"Asaphidion Gozis, 1886",Asaphidion
species:cdnom:9165,species:cdnom:9165,genus:Molops,family:Carabidae,species,cdnom:9165,Molops piceus,Molops,Carabidae,Coleoptera,Insecta,"Molops piceus (Panzer, 1793)",Molops piceus
species:cdnom:8729,species:cdnom:8729,genus:Trechus,family:Carabidae,species,cdnom:8729,Trechus quadristriatus,Trechus,Carabidae,Coleoptera,Insecta,"Trechus quadristriatus (Schrank, 1781)",Trechus quadristriatus
species:cdnom:222539,species:cdnom:222539,genus:Poecilus,family:Carabidae,species,cdnom:222539,Poecilus cupreus,Poecilus,Carabidae,Coleoptera,Insecta,"Poecilus cupreus (Linnaeus, 1758)",Poecilus cupreus
species:cdnom:8639,species:cdnom:8639,genus:Bembidion,family:Carabidae,species,cdnom:8639,Bembidion obtusum,Bembidion,Carabidae,Coleoptera,Insecta,"Bembidion obtusum Audinet-Serville, 1821",Bembidion obtusum
species:cdnom:8548,species:cdnom:8548,genus:Clivina,family:Carabidae,species,cdnom:8548,Clivina fossor,Clivina,Carabidae,Coleoptera,Insecta,"Clivina fossor (Linnaeus, 1758)",Clivina fossor
species:cdnom:222559,species:cdnom:222559,genus:Pterostichus,family:Carabidae,species,cdnom:222559,Pterostichus anthracinus,Pterostichus,Carabidae,Coleoptera,Insecta,"Pterostichus anthracinus (Illiger, 1798)",Pterostichus anthracinus
species:cdnom:794296,species:cdnom:794296,genus:Bembidion,family:Carabidae,species,cdnom:794296,Bembidion lunulatum,Bembidion,Carabidae,Coleoptera,Insecta,"Bembidion lunulatum (Geoffroy, 1785)",Bembidion lunulatum
species:cdnom:222441,species:cdnom:222441,genus:Parophonus,family:Carabidae,species,cdnom:222441,Parophonus maculicornis,Parophonus,Carabidae,Coleoptera,Insecta,"Parophonus maculicornis (Duftschmid, 1812)",Parophonus maculicornis
species:cdnom:9193,species:cdnom:9193,genus:Amara,family:Carabidae,species,cdnom:9193,Amara communis,Amara,Carabidae,Coleoptera,Insecta,"Amara communis (Panzer, 1796)",Amara communis
species:cdnom:9306,species:cdnom:9306,genus:Harpalus,family:Carabidae,species,cdnom:9306,Harpalus distinguendus,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus distinguendus (Duftschmid, 1812)",Harpalus distinguendus
species:cdnom:8628,species:cdnom:8628,genus:Bembidion,family:Carabidae,species,cdnom:8628,Bembidion properans,Bembidion,Carabidae,Coleoptera,Insecta,"Bembidion properans (Stephens, 1828)",Bembidion properans
species:cdnom:222383,species:cdnom:222383,genus:Anchomenus,family:Carabidae,species,cdnom:222383,Anchomenus dorsalis,Anchomenus,Carabidae,Coleoptera,Insecta,"Anchomenus dorsalis (Pontoppidan, 1763)",Anchomenus dorsalis
species:cdnom:794298,species:cdnom:794298,genus:Bembidion,family:Carabidae,species,cdnom:794298,Bembidion tethys,Bembidion,Carabidae,Coleoptera,Insecta,"Bembidion tethys Netolitzky, 1926",Bembidion tethys
species:cdnom:193094,species:cdnom:193094,NA,family:Carabidae,species,cdnom:193094,NA,NA,Carabidae,Coleoptera,Insecta,"Harpalus Latreille, 1802",Harpalus
species:cdnom:222449,species:cdnom:222449,genus:Harpalus,family:Carabidae,species,cdnom:222449,Harpalus affinis,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus affinis (Schrank, 1781)",Harpalus affinis
species:cdnom:795216,species:cdnom:795216,genus:Bembidion,family:Carabidae,species,cdnom:795216,Bembidion callosum,Bembidion,Carabidae,Coleoptera,Insecta,"Bembidion callosum Küster, 1847",Bembidion callosum
species:cdnom:8526,species:cdnom:8526,genus:Notiophilus,family:Carabidae,species,cdnom:8526,Notiophilus biguttatus,Notiophilus,Carabidae,Coleoptera,Insecta,"Notiophilus biguttatus (Fabricius, 1779)",Notiophilus biguttatus
species:cdnom:8632,species:cdnom:8632,genus:Bembidion,family:Carabidae,species,cdnom:8632,Bembidion lampros,Bembidion,Carabidae,Coleoptera,Insecta,"Bembidion lampros (Herbst, 1784)",Bembidion lampros
species:cdnom:222478,species:cdnom:222478,genus:Ophonus,family:Carabidae,species,cdnom:222478,Ophonus azureus,Ophonus,Carabidae,Coleoptera,Insecta,"Ophonus azureus (Fabricius, 1775)",Ophonus azureus
species:cdnom:9353,species:cdnom:9353,genus:Acupalpus,family:Carabidae,species,cdnom:9353,Acupalpus meridianus,Acupalpus,Carabidae,Coleoptera,Insecta,"Acupalpus meridianus (Linnaeus, 1761)",Acupalpus meridianus
species:cdnom:223010,species:cdnom:223010,genus:Notiophilus,family:Carabidae,species,cdnom:223010,Notiophilus germinyi,Notiophilus,Carabidae,Coleoptera,Insecta,"Notiophilus germinyi Fauvel, 1863",Notiophilus germinyi
species:cdnom:9277,species:cdnom:9277,genus:Brachinus,family:Carabidae,species,cdnom:9277,Brachinus crepitans,Brachinus,Carabidae,Coleoptera,Insecta,"Brachinus crepitans (Linnaeus, 1758)",Brachinus crepitans
