"","STATION","ndvi_m","ndvi_max","ndvi_sd","HAB","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M_MAX","T2M_MIN","sampl_date","Altitude","T2M_MEAN","degree_days","DD_cum","T30_mean","T30_max","T30_min","T30_sd","T360_sd","T360_mean","LATITUDE","LONGITUDE","ALTITUDE","Al","Ca","Fe","K","Mg","Mn","Na","N","C.N","calc","Ctot","COT","CN","MOS","CEC","Hum_frais","pH","P","Hum_res","clay","sand","Cd_tot","Cd_disp","Cu_tot","Cu_disp","Pb_tot","Pb_disp"
"31",137,0.4071,0.6361,0.141606068271909,100,3.65039504410087,49.7054460263859,2024,5,2,123,"2024-05-02",16.84,9.11,"2024-05-03",97,12.975,2.975,74.87,10.5425,15.2533333333333,5.83166666666667,3.00524206806048,6.54089843521766,12.1668333333333,49.7054460263859,3.65039504410087,97,0.0228,15.44,0.006,0.3883,0.8247,0.0251,0.14146,1.04610532522202,8.47,6,9.57935690879822,8.85935690879822,NA,15.3,16.159924,159.23566879,7.9,0.0280683752,27.13,283,84,0.203,0.112,20,3.88,21.3,5.39
"32",1372,0.738126666666667,0.8535,0.0567369552869917,0,0.672536029377586,45.9598382118547,2024,4,8,99,"2024-04-08",20.93,8.87,"2024-04-11",222,14.9,4.9,66.09,11.2375,15.462,7.013,3.54592669065586,7.1603986933233,14.1133472222222,45.9598382118547,0.672536029377586,222,1.336,1.554,0.027,0.3584,0.9684,0.4361,0.05391,0.86650975048542,NA,1,12.153559923172,12.153559923172,14,21,4.73435,196.721311475,5.47,0.0037150732,15.86,175,572,0.062,0.031,13.8,1.07,31.2,5.85
"33",1372,0.738126666666667,0.8535,0.0567369552869917,0,0.672536029377586,45.9598382118547,2024,4,9,100,"2024-04-09",11.38,4.94,"2024-04-11",222,8.16,0,66.09,11.2375,15.462,7.013,3.54592669065586,7.1603986933233,14.1133472222222,45.9598382118547,0.672536029377586,222,1.336,1.554,0.027,0.3584,0.9684,0.4361,0.05391,0.86650975048542,NA,1,12.153559923172,12.153559923172,14,21,4.73435,196.721311475,5.47,0.0037150732,15.86,175,572,0.062,0.031,13.8,1.07,31.2,5.85
"34",1372,0.738126666666667,0.8535,0.0567369552869917,0,0.672536029377586,45.9598382118547,2024,4,10,101,"2024-04-10",14.05,4.65,"2024-04-11",222,9.35,0,66.09,11.2375,15.462,7.013,3.54592669065586,7.1603986933233,14.1133472222222,45.9598382118547,0.672536029377586,222,1.336,1.554,0.027,0.3584,0.9684,0.4361,0.05391,0.86650975048542,NA,1,12.153559923172,12.153559923172,14,21,4.73435,196.721311475,5.47,0.0037150732,15.86,175,572,0.062,0.031,13.8,1.07,31.2,5.85
"35",1464,0.672613333333333,0.8761,0.203782576244762,0,2.94301610784092,45.6779077470276,2024,6,4,156,"2024-06-04",20.11,9.04,"2024-06-05",985,14.575,4.575,89.44,11.7548333333333,16.2053333333333,7.30433333333333,3.6932279034831,7.31016448643586,10.7942638888889,45.6779077470276,2.94301610784092,985,0.5401,4.312,0.0206,0.3081,1.133,0.0497,0.10553,7.19366550445557,14.1,3,101.867399215698,101.507399215698,NA,176,8.740704,468.864468864,5.91,0.0181027448,99.43,135,340,0.398,0.1,28.9,2.43,18.5,1.53
"36",1477,0.624366666666667,0.8356,0.207561886353605,100,5.61003921649128,45.6401693491095,2024,4,7,98,"2024-04-07",21.36,10.56,"2024-04-08",209,15.96,5.96,31.945,9.93433333333333,14.8846666666667,4.984,3.92707268881618,7.36475773685428,12.5689027777778,45.6401693491095,5.61003921649128,209,0.02,15.52,0.005,0.2164,0.6108,0.005,0.01126,1.78962275385857,NA,257,53.0256414413452,22.1856414413452,12.4,38.4,14.492486,250,8.26,0.0069400692,16.15,195,208,0.518,0.293,22.7,6.3,24.5,4.02
"37",1491,0.465606666666667,0.6927,0.0965282228652523,100,0.0710220240044624,45.5173490694814,2024,3,18,78,"2024-03-18",17.6,10.4,"2024-03-19",114,14,4,33.4,9.04233333333333,12.8166666666667,5.268,3.47891159283856,7.2140952303831,15.04775,45.5173490694814,0.0710220240044624,114,0.02,27.14,0.005,0.6935,1.016,0.005,0.08441,1.37247413396835,NA,408,65.0364971160889,16.0764971160889,11.7,27.8,27.748943,237.113402062,8.41,0.0095711248,41.53,354,166,0.993,0.312,7.1,1.69,16,3.43
"38",152,0.643513333333333,0.8138,0.127844156616376,100,0.555290562591357,49.5559367282316,2024,4,2,93,"2024-04-02",13.53,8.34,"2024-04-03",144,10.935,0.934999999999999,26.145,9.5155,13.1383333333333,5.89266666666667,3.75784100805539,5.68816612004187,12.7629166666667,49.5559367282316,0.555290562591357,144,0.0337,6.76,0.005,0.2595,0.886,0.093,0.0464,1.44015416502953,NA,1,14.33070063591,14.21070063591,9.87,24.6,7.871269,255.520504732,6.51,0.0483478832,15.64,143,181,0.238,0.118,11.8,3.29,21.8,4.59
"39",1537,0.670813333333333,0.8199,0.137018532983507,100,0.892398066995418,45.3884443655317,2024,3,14,74,"2024-03-14",16.12,5.92,"2024-03-15",203,11.02,1.02,9.415,7.66283333333333,11.23,4.09566666666667,3.16119574962003,7.45778931157061,14.5235694444444,45.3884443655317,0.892398066995418,203,0.0371,11.25,0.0089,0.1566,0.651,0.0738,0.06819,1.45833253860474,NA,1,16.5588331222534,16.4388331222534,11.3,28.4,11.835096,185.810810811,6.98,0.0058940184,18.84,244,454,0.949,0.491,24.2,4.62,42.5,11.1
"40",1549,0.68072,0.8435,0.111113218964133,100,3.34517713570663,45.3911047765517,2024,5,29,150,"2024-05-29",16.17,9.15,"2024-05-30",400,12.66,2.66,78.795,10.9136666666667,15.3626666666667,6.46466666666667,3.81576808559184,7.34917825040098,10.8700694444444,45.3911047765517,3.34517713570663,400,0.0473,9.819,0.005,0.2636,3.087,0.0516,0.07448,2.71230638027191,12.5,2,34.1970729827881,33.9570729827881,NA,58.7,12.848028,253.289473684,6.21,0.0135506564,22.06,141,549,0.401,0.234,26.8,6.55,52.1,9.12
"41",1556,0.594106666666667,0.7397,0.0965889040260442,0,4.77475157668675,45.3690149100078,2024,4,8,99,"2024-04-08",21.85,10.67,"2024-04-10",138,16.26,6.26,43.95,10.5685,15.546,5.591,3.90655205888313,7.53455392079199,13.0884861111111,45.3690149100078,4.77475157668675,138,0.02,9.841,0.005,0.2845,0.4656,0.005,0.02216,0.882938280701637,NA,237,39.5250082015991,11.0850082015991,12.6,19.2,8.141297,148.026315789,8.49,0.008077764,10.74,126,581,0.196,0.083,29.1,12.1,21.3,3.48
"42",1556,0.594106666666667,0.7397,0.0965889040260442,0,4.77475157668675,45.3690149100078,2024,4,9,100,"2024-04-09",12.25,4.08,"2024-04-10",138,8.165,0,43.95,10.5685,15.546,5.591,3.90655205888313,7.53455392079199,13.0884861111111,45.3690149100078,4.77475157668675,138,0.02,9.841,0.005,0.2845,0.4656,0.005,0.02216,0.882938280701637,NA,237,39.5250082015991,11.0850082015991,12.6,19.2,8.141297,148.026315789,8.49,0.008077764,10.74,126,581,0.196,0.083,29.1,12.1,21.3,3.48
"43",157,0.744826666666667,0.8968,0.203856239494778,100,1.6591608703299,49.5671766642783,2024,4,3,94,"2024-04-03",15.71,9.25,"2024-04-04",164,12.48,2.48,25.995,9.53383333333333,13.6343333333333,5.43333333333333,4.41725018546593,6.13902847200779,12.2523194444444,49.5671766642783,1.6591608703299,164,0.0204,14.73,0.005,0.2332,0.8033,0.0783,0.04611,2.46392071247101,NA,1,25.713849067688,25.593849067688,10.4,44.3,15.126193,264.406779661,6.63,0.0518286096,22.55,222,414,0.184,0.105,12.2,3.67,21.9,4.72
