taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:374214,374214,Munna fabricii,Munna,Munnidae,FALSE,TAXREF_mainland
species:cdref:374216,374216,Munna kroyeri,Munna,Munnidae,FALSE,TAXREF_mainland
species:cdref:374208,374208,Munna limicola,Munna,Munnidae,FALSE,TAXREF_mainland
species:cdref:374215,374215,Munna minuta,Munna,Munnidae,FALSE,TAXREF_mainland
species:cdref:374099,374099,Munneurycope murrayi,Munneurycope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:942073,942073,Munnopsoides eximius,Munnopsoides,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:374095,374095,Munnopsurus atlanticus,Munnopsurus,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:942083,942083,Nannoniscus analis,Nannoniscus,Nannoniscidae,FALSE,TAXREF_mainland
species:cdref:942087,942087,Nannoniscus laticeps,Nannoniscus,Nannoniscidae,FALSE,TAXREF_mainland
species:cdref:942088,942088,Nannoniscus minutus,Nannoniscus,Nannoniscidae,FALSE,TAXREF_mainland
species:cdref:942089,942089,Nannoniscus simplex,Nannoniscus,Nannoniscidae,FALSE,TAXREF_mainland
species:cdref:366502,366502,Natatolana borealis,Natatolana,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:366500,366500,Natatolana caeca,Natatolana,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:366501,366501,Natatolana gallica,Natatolana,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:366499,366499,Natatolana neglecta,Natatolana,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:380033,380033,Neohyssura spinicauda,Neohyssura,Hyssuridae,FALSE,TAXREF_mainland
species:cdref:374336,374336,Nerocila bivittata,Nerocila,Cymothoidae,FALSE,TAXREF_mainland
species:cdref:374330,374330,Nerocila orbignyi,Nerocila,Cymothoidae,FALSE,TAXREF_mainland
species:cdref:237145,237145,Nesiotoniscus bernardi,Nesiotoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237146,237146,Nesiotoniscus corsicus,Nesiotoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237148,237148,Nesiotoniscus racovitzai,Nesiotoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237149,237149,Nesiotoniscus ribensis,Nesiotoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:943126,943126,Notoxenoides abyssi,Notoxenoides,Paramunnidae,FALSE,TAXREF_mainland
species:cdnom:237051,237051,Oniscus asellus,Oniscus,Oniscidae,TRUE,observed_RMQS
species:cdref:640461,640461,Oritoniscus aurensis,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:640462,640462,Oritoniscus baroussensis,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237150,237150,Oritoniscus bonadonai,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237151,237151,Oritoniscus bonneti,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237153,237153,Oritoniscus delmasi,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:808770,808770,Oritoniscus eremitus,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237155,237155,Oritoniscus flavus,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237156,237156,Oritoniscus fouresi,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237157,237157,Oritoniscus intermedius,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237158,237158,Oritoniscus legrandi,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237159,237159,Oritoniscus magnei,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:808693,808693,Oritoniscus notabilis,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237161,237161,Oritoniscus ocellatus,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237162,237162,Oritoniscus paganus,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237163,237163,Oritoniscus punctatus,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237165,237165,Oritoniscus remyi,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237166,237166,Oritoniscus ribauti,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237167,237167,Oritoniscus rousseti,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:640463,640463,Oritoniscus simplex,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237168,237168,Oritoniscus trajani,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237169,237169,Oritoniscus vandeli,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237170,237170,Oritoniscus violaceus,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237171,237171,Oritoniscus virei,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:808766,808766,Oritoniscus virei,Oritoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:311068,311068,Orthometopon planum,Orthometopon,Agnaridae,FALSE,TAXREF_mainland
species:cdref:845692,845692,Parachiridotea mediterranea,Parachiridotea,Chaetiliidae,FALSE,TAXREF_mainland
species:cdref:18791,18791,Paragnathia formica,Paragnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:380055,380055,Paranthura costana,Paranthura,Paranthuridae,FALSE,TAXREF_mainland
species:cdref:380056,380056,Paranthura nigropunctata,Paranthura,Paranthuridae,FALSE,TAXREF_mainland
species:cdref:310658,310658,Paraschizidium coeculum,Paraschizidium,Armadillidiidae,FALSE,TAXREF_mainland
species:cdref:808667,808667,Paraschizidium esterelanum,Paraschizidium,Armadillidiidae,FALSE,TAXREF_mainland
species:cdref:380102,380102,Parathelges racovitzai,Parathelges,Bopyridae,FALSE,TAXREF_mainland
species:cdref:237060,237060,Philoscia affinis,Philoscia,Philosciidae,FALSE,TAXREF_mainland
species:cdnom:237061,237061,Philoscia muscorum,Philoscia,Philosciidae,TRUE,observed_RMQS
