taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:227547,227547,Hispaniosoma racovitzai,Hispaniosoma,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227557,227557,Hypnosoma exornatum,Hypnosoma,Vandeleumatidae,FALSE,TAXREF_mainland
species:cdref:227558,227558,Hypnosoma juberthieorum,Hypnosoma,Vandeleumatidae,FALSE,TAXREF_mainland
species:cdref:227559,227559,Hypnosoma pallidum,Hypnosoma,Vandeleumatidae,FALSE,TAXREF_mainland
species:cdref:227573,227573,Iulogona tirolensis,Iulogona,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227574,227574,Janetschekella valesiaca,Janetschekella,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdnom:227641,227641,Julus scandinavius,Julus,Julidae,TRUE,observed_RMQS
species:cdref:227643,227643,Leptoiulus belgicus,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227644,227644,Leptoiulus bertkaui,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227646,227646,Leptoiulus bruyanti,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227648,227648,Leptoiulus garumnicus,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:936486,936486,Leptoiulus helveticus,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227650,227650,Leptoiulus juvenilis,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227651,227651,Leptoiulus kervillei,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227652,227652,Leptoiulus legeri,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227654,227654,Leptoiulus montivagus,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227655,227655,Leptoiulus piceus,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227657,227657,Leptoiulus simplex,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227659,227659,Leptoiulus uncinatus,Leptoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227459,227459,Loboglomeris pyrenaica,Loboglomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227460,227460,Loboglomeris rugifera,Loboglomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227443,227443,Lophoproctinus inferus,Lophoproctinus,Lophoproctidae,FALSE,TAXREF_mainland
species:cdref:287600,287600,Lophoproctus coecus,Lophoproctus,Lophoproctidae,FALSE,TAXREF_mainland
species:cdref:227444,227444,Lophoproctus jeanneli,Lophoproctus,Lophoproctidae,FALSE,TAXREF_mainland
species:cdref:227445,227445,Lophoproctus lucidus,Lophoproctus,Lophoproctidae,FALSE,TAXREF_mainland
species:cdref:227686,227686,Macrosternodesmus palicola,Macrosternodesmus,Macrosternodesmidae,FALSE,TAXREF_mainland
species:cdref:988082,988082,Marboreuma brouquissei,Marboreuma,Chamaesomatidae,FALSE,TAXREF_mainland
species:cdref:227550,227550,Marquetiella auriculata,Marquetiella,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227548,227548,Marquetiella lunata,Marquetiella,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227549,227549,Marquetiella pyrenaica,Marquetiella,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227694,227694,Mastigonodesmus destefanii,Mastigonodesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227695,227695,Mastigonodesmus fagniezi,Mastigonodesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227696,227696,Mastigonodesmus lopezi,Mastigonodesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:1025917,1025917,Maurieseuma nontronense,Maurieseuma,Haaseidae,FALSE,TAXREF_mainland
species:cdnom:227522,227522,Melogona gallica,Melogona,Chordeumatidae,TRUE,observed_RMQS
species:cdref:227523,227523,Melogona scutellaris,Melogona,Chordeumatidae,FALSE,TAXREF_mainland
