code_ech,station,method
RMQS_2024_LES-COMBES_1064_hand-sorting_6,1064,hand-sorting
RMQS_2024_LEVONCOURT_926_hand-sorting_1,926,hand-sorting
RMQS_2024_LEVONCOURT_926_hand-sorting_4,926,hand-sorting
RMQS_2024_LEVONCOURT_926_hand-sorting_6,926,hand-sorting
RMQS_2024_LINTOT_152_hand-sorting_1,152,hand-sorting
RMQS_2024_LINTOT_152_hand-sorting_2,152,hand-sorting
RMQS_2024_LINTOT_152_hand-sorting_3,152,hand-sorting
RMQS_2024_LINTOT_152_hand-sorting_4,152,hand-sorting
RMQS_2024_LINTOT_152_hand-sorting_5,152,hand-sorting
RMQS_2024_LINTOT_152_hand-sorting_6,152,hand-sorting
RMQS_2024_LOSNE_1058_hand-sorting_1,1058,hand-sorting
RMQS_2024_LOSNE_1058_hand-sorting_2,1058,hand-sorting
RMQS_2024_LOSNE_1058_hand-sorting_3,1058,hand-sorting
RMQS_2024_LOSNE_1058_hand-sorting_4,1058,hand-sorting
RMQS_2024_LOSNE_1058_hand-sorting_5,1058,hand-sorting
RMQS_2024_LOSNE_1058_hand-sorting_6,1058,hand-sorting
RMQS_2024_LOSNE_1066_hand-sorting_1,1066,hand-sorting
RMQS_2024_LOSNE_1066_hand-sorting_2,1066,hand-sorting
RMQS_2024_LOSNE_1066_hand-sorting_3,1066,hand-sorting
RMQS_2024_LOSNE_1066_hand-sorting_5,1066,hand-sorting
RMQS_2024_LOSNE_1066_hand-sorting_6,1066,hand-sorting
RMQS_2024_MAISONCELLES-DU-MAINE_730_ hand-sorting_5,730,hand-sorting
RMQS_2024_MAISONCELLES-DU-MAINE_730_ hand-sorting_6,730,hand-sorting
RMQS_2024_MAISONCELLES-DU-MAINE_730_hand-sorting_1,730,hand-sorting
RMQS_2024_MAISONCELLES-DU-MAINE_730_hand-sorting_2,730,hand-sorting
RMQS_2024_MAISONCELLES-DU-MAINE_730_hand-sorting_3,730,hand-sorting
RMQS_2024_MAISONCELLES-DU-MAINE_730_hand-sorting_4,730,hand-sorting
RMQS_2024_MAISONCELLES-DU-MAINE_730_hand-sorting_5,730,hand-sorting
RMQS_2024_MAISONCELLES-DU-MAINE_730_hand-sorting_6,730,hand-sorting
RMQS_2024_MALTAT_1180_hand-sorting_1,1180,hand-sorting
RMQS_2024_MALTAT_1180_hand-sorting_2,1180,hand-sorting
RMQS_2024_MALTAT_1180_hand-sorting_3,1180,hand-sorting
RMQS_2024_MALTAT_1180_hand-sorting_4,1180,hand-sorting
RMQS_2024_MALTAT_1180_hand-sorting_5,1180,hand-sorting
RMQS_2024_MALTAT_1180_hand-sorting_6,1180,hand-sorting
RMQS_2024_MAZERAY_1366_hand-sorting_1,1366,hand-sorting
RMQS_2024_MAZERAY_1366_hand-sorting_2,1366,hand-sorting
RMQS_2024_MAZERAY_1366_hand-sorting_3,1366,hand-sorting
RMQS_2024_MAZERAY_1366_hand-sorting_4,1366,hand-sorting
RMQS_2024_MAZERAY_1366_hand-sorting_5,1366,hand-sorting
RMQS_2024_MAZERAY_1366_hand-sorting_6,1366,hand-sorting
RMQS_2024_MENERVAL_157_hand-sorting_1,157,hand-sorting
RMQS_2024_MENERVAL_157_hand-sorting_2,157,hand-sorting
RMQS_2024_MENERVAL_157_hand-sorting_3,157,hand-sorting
RMQS_2024_MENERVAL_157_hand-sorting_4,157,hand-sorting
RMQS_2024_MENERVAL_157_hand-sorting_5,157,hand-sorting
RMQS_2024_MENERVAL_157_hand-sorting_6,157,hand-sorting
RMQS_2024_MERCY-LE-HAUT_215_hand-sorting_1,215,hand-sorting
RMQS_2024_MERCY-LE-HAUT_215_hand-sorting_2,215,hand-sorting
RMQS_2024_MERCY-LE-HAUT_215_hand-sorting_3,215,hand-sorting
RMQS_2024_MERCY-LE-HAUT_215_hand-sorting_4,215,hand-sorting
RMQS_2024_MERCY-LE-HAUT_215_hand-sorting_5,215,hand-sorting
RMQS_2024_MERCY-LE-HAUT_215_hand-sorting_6,215,hand-sorting
RMQS_2024_MEZERAY_788_hand-sorting_1,788,hand-sorting
RMQS_2024_MEZERAY_788_hand-sorting_2,788,hand-sorting
RMQS_2024_MEZERAY_788_hand-sorting_3,788,hand-sorting
RMQS_2024_MEZERAY_788_hand-sorting_4,788,hand-sorting
RMQS_2024_MEZERAY_788_hand-sorting_5,788,hand-sorting
RMQS_2024_MEZERAY_788_hand-sorting_6,788,hand-sorting
RMQS_2024_MONTJUSTIN-ET-VELOTTE_870_hand-sorting_1,870,hand-sorting
RMQS_2024_MONTJUSTIN-ET-VELOTTE_870_hand-sorting_2,870,hand-sorting
RMQS_2024_MONTJUSTIN-ET-VELOTTE_870_hand-sorting_3,870,hand-sorting
RMQS_2024_MONTJUSTIN-ET-VELOTTE_870_hand-sorting_4,870,hand-sorting
RMQS_2024_MONTJUSTIN-ET-VELOTTE_870_hand-sorting_5,870,hand-sorting
RMQS_2024_MONTJUSTIN-ET-VELOTTE_870_hand-sorting_6,870,hand-sorting
RMQS_2024_PARIS_391_hand-sorting_1,391,hand-sorting
RMQS_2024_PARIS_391_hand-sorting_2,391,hand-sorting
RMQS_2024_PARIS_391_hand-sorting_3,391,hand-sorting
RMQS_2024_PARIS_391_hand-sorting_4,391,hand-sorting
RMQS_2024_PARIS_391_hand-sorting_5,391,hand-sorting
RMQS_2024_PARIS_391_hand-sorting_6,391,hand-sorting
RMQS_2024_PLASSAC-ROUFFIAC_1491_hand-sorting_1,1491,hand-sorting
RMQS_2024_PLASSAC-ROUFFIAC_1491_hand-sorting_2,1491,hand-sorting
RMQS_2024_PLASSAC-ROUFFIAC_1491_hand-sorting_3,1491,hand-sorting
RMQS_2024_PLASSAC-ROUFFIAC_1491_hand-sorting_4,1491,hand-sorting
RMQS_2024_PLASSAC-ROUFFIAC_1491_hand-sorting_5,1491,hand-sorting
RMQS_2024_PLASSAC-ROUFFIAC_1491_hand-sorting_6,1491,hand-sorting
RMQS_2024_PONT-SUR-YONNE_633_hand-sorting_1,633,hand-sorting
RMQS_2024_PONT-SUR-YONNE_633_hand-sorting_2,633,hand-sorting
RMQS_2024_PONT-SUR-YONNE_633_hand-sorting_3,633,hand-sorting
RMQS_2024_PONT-SUR-YONNE_633_hand-sorting_4,633,hand-sorting
RMQS_2024_PONT-SUR-YONNE_633_hand-sorting_5,633,hand-sorting
RMQS_2024_PONT-SUR-YONNE_633_hand-sorting_6,633,hand-sorting
RMQS_2024_PORTA_2312_hand-sorting_1,2312,hand-sorting
RMQS_2024_PORTA_2312_hand-sorting_2,2312,hand-sorting
RMQS_2024_PORTA_2312_hand-sorting_3,2312,hand-sorting
RMQS_2024_PORTA_2312_hand-sorting_4,2312,hand-sorting
RMQS_2024_PORTA_2312_hand-sorting_5,2312,hand-sorting
RMQS_2024_PORTA_2312_hand-sorting_6,2312,hand-sorting
RMQS_2024_PUIMOISSON_1992_hand-sorting_1,1992,hand-sorting
RMQS_2024_PUIMOISSON_1992_hand-sorting_2,1992,hand-sorting
RMQS_2024_PUIMOISSON_1992_hand-sorting_3,1992,hand-sorting
RMQS_2024_PUIMOISSON_1992_hand-sorting_4,1992,hand-sorting
RMQS_2024_SAINTE-MARGUERITE-D'ELLE_223_hand-sorting_1,223,hand-sorting
RMQS_2024_SAINTE-MARGUERITE-D'ELLE_223_hand-sorting_2,223,hand-sorting
RMQS_2024_SAINTE-MARGUERITE-D'ELLE_223_hand-sorting_3,223,hand-sorting
RMQS_2024_SAINTE-MARGUERITE-D'ELLE_223_hand-sorting_4,223,hand-sorting
RMQS_2024_SAINTE-MARGUERITE-D'ELLE_223_hand-sorting_5,223,hand-sorting
